2025-09-19 07:27:07.4153 D Emitted message: systemStats
2025-09-19 07:27:08.4169 D Emitted message: systemStats
2025-09-19 07:27:09.4184 D Emitted message: systemStats
2025-09-19 07:27:10.4200 D Emitted message: systemStats
2025-09-19 07:27:11.4216 D Emitted message: systemStats
2025-09-19 07:27:12.4231 D Emitted message: systemStats
2025-09-19 07:27:13.4246 D Emitted message: systemStats
2025-09-19 07:27:14.4261 D Emitted message: systemStats
2025-09-19 07:27:15.4277 D Emitted message: systemStats
2025-09-19 07:27:16.4291 D Emitted message: systemStats
2025-09-19 07:27:17.4307 D Emitted message: systemStats
2025-09-19 07:27:18.4322 D Emitted message: systemStats
2025-09-19 07:27:19.4338 D Emitted message: systemStats
2025-09-19 07:27:20.4354 D Emitted message: systemStats
2025-09-19 07:27:21.4368 D Emitted message: systemStats
2025-09-19 07:27:22.4383 D Emitted message: systemStats
2025-09-19 07:27:23.4399 D Emitted message: systemStats
2025-09-19 07:27:24.4414 D Emitted message: systemStats
2025-09-19 07:27:25.4429 D Emitted message: systemStats
2025-09-19 07:27:26.4444 D Emitted message: systemStats
2025-09-19 07:27:27.4458 D Emitted message: systemStats
2025-09-19 07:27:28.4497 D Emitted message: systemStats
2025-09-19 07:27:29.4511 D Emitted message: systemStats
2025-09-19 07:27:30.4526 D Emitted message: systemStats
2025-09-19 07:27:31.4219 D Emitted message: ndiSources
2025-09-19 07:27:31.4541 D Emitted message: systemStats
2025-09-19 07:27:32.4559 D Emitted message: systemStats
2025-09-19 07:27:33.4575 D Emitted message: systemStats
2025-09-19 07:27:34.4590 D Emitted message: systemStats
2025-09-19 07:27:35.4607 D Emitted message: systemStats
2025-09-19 07:27:36.4619 D Emitted message: routeTargets
2025-09-19 07:27:36.4619 D Emitted message: systemStats
2025-09-19 07:27:37.4646 D Emitted message: systemStats
2025-09-19 07:27:38.4660 D Emitted message: systemStats
2025-09-19 07:27:39.4676 D Emitted message: systemStats
2025-09-19 07:27:40.4690 D Emitted message: systemStats
2025-09-19 07:27:41.4706 D Emitted message: systemStats
2025-09-19 07:27:42.4720 D Emitted message: systemStats
2025-09-19 07:27:43.4736 D Emitted message: systemStats
2025-09-19 07:27:44.4751 D Emitted message: systemStats
2025-09-19 07:27:45.4766 D Emitted message: systemStats
2025-09-19 07:27:46.4781 D Emitted message: systemStats
2025-09-19 07:27:47.4797 D Emitted message: systemStats
2025-09-19 07:27:48.4812 D Emitted message: systemStats
2025-09-19 07:27:49.4827 D Emitted message: systemStats
2025-09-19 07:27:50.4844 D Emitted message: systemStats
2025-09-19 07:27:51.4859 D Emitted message: systemStats
2025-09-19 07:27:52.4880 D Emitted message: systemStats
2025-09-19 07:27:53.4897 D Emitted message: systemStats
2025-09-19 07:27:54.4911 D Emitted message: systemStats
2025-09-19 07:27:55.4927 D Emitted message: systemStats
2025-09-19 07:27:56.4942 D Emitted message: systemStats
2025-09-19 07:27:57.4958 D Emitted message: systemStats
2025-09-19 07:27:58.4973 D Emitted message: systemStats
2025-09-19 07:27:59.4989 D Emitted message: systemStats
2025-09-19 07:28:00.5004 D Emitted message: systemStats
2025-09-19 07:28:01.4892 D Emitted message: ndiSources
2025-09-19 07:28:01.5019 D Emitted message: systemStats
2025-09-19 07:28:02.5037 D Emitted message: systemStats
2025-09-19 07:28:03.5052 D Emitted message: systemStats
2025-09-19 07:28:04.5068 D Emitted message: systemStats
2025-09-19 07:28:05.5082 D Emitted message: systemStats
2025-09-19 07:28:06.5097 D Emitted message: systemStats
2025-09-19 07:28:06.5110 D Emitted message: routeTargets
2025-09-19 07:28:07.5112 D Emitted message: systemStats
2025-09-19 07:28:08.5128 D Emitted message: systemStats
2025-09-19 07:28:09.5144 D Emitted message: systemStats
2025-09-19 07:28:10.5159 D Emitted message: systemStats
2025-09-19 07:28:11.5174 D Emitted message: systemStats
2025-09-19 07:28:12.5189 D Emitted message: systemStats
2025-09-19 07:28:13.5205 D Emitted message: systemStats
2025-09-19 07:28:14.5220 D Emitted message: systemStats
2025-09-19 07:28:15.5236 D Emitted message: systemStats
2025-09-19 07:28:16.5251 D Emitted message: systemStats
2025-09-19 07:28:17.5266 D Emitted message: systemStats
2025-09-19 07:28:18.5281 D Emitted message: systemStats
2025-09-19 07:28:19.5296 D Emitted message: systemStats
2025-09-19 07:28:20.5311 D Emitted message: systemStats
